,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20200311,open a position,option(delta<0.25),1.4604409039095094,10002071.SH,3.0,0.7302204519547547,0.019,0.27146676182746887,0.22182761009725155,1.9469949278069196,0.16745193925497967,-0.6049434021830368
20200311,open a position,option(delta>0.25),0.5395590960904906,10002070.SH,2.95,0.2697795480452453,0.0317,0.2712685763835907,0.3262550587562715,2.360910897069215,0.20290268018289428,-0.7356194707388025
20200311,open a position,option(delta<0.5),-0.607288372965031,10002069.SH,2.9,0.607288372965031,0.0512,0.27663782238960266,0.45027046802823684,2.5421573341058585,0.22280384516807666,-0.8283264483607408
20200311,open a position,option(delta>0.5),-0.392711627034969,10002068.SH,2.85,0.392711627034969,0.0767,0.2807164490222931,0.5769016359089245,2.4778073920021115,0.22036575442143283,-0.8380193990186358
20200312,close a position,option(delta<0.25),-1.4604409039095094,10002071.SH,3.0,0.7302204519547547,0.0164,0.315314382314682,0.18326356727214926,1.5724321550936005,0.14202952598743804,-0.638764500782635
20200312,close a position,option(delta>0.25),-0.5395590960904906,10002070.SH,2.95,0.2697795480452453,0.0265,0.3141046464443207,0.266583877898261,1.9542269913971102,0.17583782738834258,-0.7899556256105199
20200312,close a position,option(delta<0.5),0.607288372965031,10002069.SH,2.9,0.607288372965031,0.0405,0.3102663457393646,0.3670506164674596,2.2677211939410395,0.2015520735577498,-0.8979018512533107
20200312,close a position,option(delta>0.5),0.392711627034969,10002068.SH,2.85,0.392711627034969,0.0622,0.3179294168949127,0.4839668940741076,2.3425936712252335,0.2133490041539778,-0.9784343881676721
20200312,open a position,option(delta<0.25),0.39807527777179874,10002071.SH,3.0,0.19903763888589937,0.0164,0.315314382314682,0.18326356727214926,1.5724321550936005,0.14202952598743804,-0.638764500782635
20200312,open a position,option(delta>0.25),1.6019247222282011,10002070.SH,2.95,0.8009623611141006,0.0265,0.3141046464443207,0.266583877898261,1.9542269913971102,0.17583782738834258,-0.7899556256105199
20200312,open a position,option(delta<0.5),-0.8612934368075105,10002068.SH,2.85,0.8612934368075105,0.0622,0.3179294168949127,0.4839668940741076,2.3425936712252335,0.2133490041539778,-0.9784343881676721
20200312,open a position,option(delta>0.5),-0.13870656319248953,10002067.SH,2.8,0.13870656319248953,0.089,0.3222215473651886,0.5995569970719198,2.240847666506736,0.20683777333261605,-0.9678564647984437
20200313,close a position,option(delta<0.25),-0.39807527777179874,10002071.SH,3.0,0.19903763888589937,0.0195,0.40532681345939636,0.1807478992642726,1.2802860307545936,0.13337519183804084,-0.8318881579240498
20200313,close a position,option(delta>0.25),-1.6019247222282011,10002070.SH,2.95,0.8009623611141006,0.0291,0.40532729029655457,0.2470414206856671,1.536667363001642,0.1600841847218132,-1.0000479068657164
20200313,close a position,option(delta<0.5),0.8612934368075105,10002068.SH,2.85,0.8612934368075105,0.0596,0.4070568382740021,0.4155212135779186,1.8896793811095245,0.19769964756045794,-1.2459344718785323
20200313,close a position,option(delta>0.5),0.13870656319248953,10002067.SH,2.8,0.13870656319248953,0.0833,0.4171190559864044,0.5110125019001841,1.8858327343123722,0.2021742853518395,-1.3094399305188107
20200313,open a position,option(delta<0.25),1.9194984261756871,10002070.SH,2.95,0.9597492130878436,0.0291,0.40532729029655457,0.2470414206856671,1.536667363001642,0.1600841847218132,-1.0000479068657164
20200313,open a position,option(delta>0.25),0.08050157382431289,10002069.SH,2.9,0.040250786912156444,0.0401,0.3940828740596771,0.32054505977699055,1.7912279683040617,0.18142667413968622,-1.1044752959878714
20200313,open a position,option(delta<0.5),-0.1153246761423821,10002068.SH,2.85,0.1153246761423821,0.0596,0.4070568382740021,0.4155212135779186,1.8896793811095245,0.19769964756045794,-1.2459344718785323
20200313,open a position,option(delta>0.5),-0.8846753238576179,10002067.SH,2.8,0.8846753238576179,0.0833,0.4171190559864044,0.5110125019001841,1.8858327343123722,0.2021742853518395,-1.3094399305188107
20200316,close a position,option(delta<0.25),-1.9194984261756871,10002070.SH,2.95,0.9597492130878436,0.0111,0.47965577244758606,0.11592938281696519,0.9645901518510377,0.0823678019858406,-0.8071463764502768
20200316,close a position,option(delta>0.25),-0.08050157382431289,10002069.SH,2.9,0.040250786912156444,0.0152,0.4592963755130768,0.15509382637860913,1.2300979554066929,0.10058140380532514,-0.9447966359363572
20200316,close a position,option(delta<0.5),0.1153246761423821,10002068.SH,2.85,0.1153246761423821,0.0206,0.4350834786891937,0.2059230098669853,1.5518646305330963,0.12020192008911251,-1.071138879319538
20200316,close a position,option(delta>0.5),0.8846753238576179,10002067.SH,2.8,0.8846753238576179,0.0295,0.4189043939113617,0.27898495508701004,1.9011698140246263,0.14178190382907607,-1.218761974207064
20200316,open a position,option(delta<0.25),-0.7934350775830666,10002068.SH,2.85,0.3967175387915333,0.0206,0.4350834786891937,0.2059230098669853,1.5518646305330963,0.12020192008911251,-1.071138879319538
20200316,open a position,option(delta>0.25),-1.2065649224169332,10002067.SH,2.8,0.6032824612084666,0.0295,0.4189043939113617,0.27898495508701004,1.9011698140246263,0.14178190382907607,-1.218761974207064
20200316,open a position,option(delta<0.5),0.8887677833491656,10002065.SH,2.7,0.8887677833491656,0.0632,0.40837183594703674,0.48583554985932,2.313864601651458,0.16822041598222248,-1.4178567603184515
20200316,open a position,option(delta>0.5),0.11123221665083438,10002286.SH,2.65,0.11123221665083438,0.0799,0.35170599818229675,0.6131768055419538,2.5794414085275448,0.16150665420965576,-1.1831898740614573
20200317,close a position,option(delta<0.25),0.7934350775830666,10002068.SH,2.85,0.3967175387915333,0.0165,0.44516387581825256,0.17828369312742037,1.4794633094517988,0.10329250488280846,-1.0581746471489775
20200317,close a position,option(delta>0.25),1.2065649224169332,10002067.SH,2.8,0.6032824612084666,0.0256,0.43919357657432556,0.25362196509908824,1.8409483018318387,0.12680671954845243,-1.2835464184782497
20200317,close a position,option(delta<0.5),-0.8887677833491656,10002065.SH,2.7,0.8887677833491656,0.0569,0.4294984042644501,0.4571525809071667,2.33190913305611,0.157078907929459,-1.5623681760714494
20200317,close a position,option(delta>0.5),-0.11123221665083438,10002286.SH,2.65,0.11123221665083438,0.0815,0.43014904856681824,0.5738449044367674,2.301666820556147,0.15527663794285587,-1.552765439792022
20200317,open a position,option(delta<0.25),-0.09615206200774923,10002068.SH,2.85,0.048076031003874614,0.0165,0.44516387581825256,0.17828369312742037,1.4794633094517988,0.10329250488280846,-1.0581746471489775
20200317,open a position,option(delta>0.25),-1.9038479379922508,10002067.SH,2.8,0.9519239689961254,0.0256,0.43919357657432556,0.25362196509908824,1.8409483018318387,0.12680671954845243,-1.2835464184782497
20200317,open a position,option(delta<0.5),0.632817157146036,10002065.SH,2.7,0.632817157146036,0.0569,0.4294984042644501,0.4571525809071667,2.33190913305611,0.157078907929459,-1.5623681760714494
